County,ID,YM,EM,YF,EF,Radon
Aitkin,1,53,46.4,39,30.5,2.075
Anoka,2,346,334.1,331,266.4,3.212280702
Becker,3,68,62.2,37,45.7,3.175
Beltrami,4,59,60,42,45.7,3.657142857
Benton,5,40,45.1,21,36.3,3.775
Big Stone,6,20,15.6,12,11.8,4.933333333
Blue Earth,7,60,79,52,65.2,7.014285714
Brown,8,29,55,27,42,5.825
Carlton,9,58,58.9,49,45.6,3.109090909
Carver,10,61,76.1,43,59.3,7.283333333
Cass,11,84,69,36,44.5,4.46
Chippewa,12,29,28.7,12,23.2,6.24
Chisago,13,63,58,52,41.3,3.683333333
Clay,14,93,78.1,51,62.2,9.013333333
Clearwater,15,24,18.9,14,12.8,3.125
Cook,16,12,12.2,13,8.3,2.05
Cottonwood,17,24,29.2,14,22.9,5.225
Crow Wing,18,116,119.2,96,87.4,3.1
Dakota,19,366,394.3,314,317.6,4.643478261
Dodge,20,29,27.2,20,20.5,6.1
Douglas,21,78,71.1,36,53.4,5.218181818
Faribault,22,34,39,21,31,2.816666667
Fillmore,23,44,47.2,27,35.1,2.85
Freeborn,24,53,72.8,38,55.5,8.78
Goodhue,25,71,79.9,44,62.4,8.293333333
Grant,26,17,16.2,13,12,4.02
Hennepin,27,1551,1531,1461,1287.1,4.640336134
Houston,28,25,38.1,18,28.6,5.25
Hubbard,29,44,44.5,34,29.9,2.68
Isanti,30,40,45.9,25,35,2.875
Itasca,31,109,97.3,78,68.5,3.125
Jackson,32,18,26.3,10,19.5,10.37142857
Kanabec,33,29,29.1,17,20.1,4.025
Kandiyohi,34,71,75.3,53,57.4,8.6
Kittson,35,14,13.1,9,9.6,4.1
Koochiching,36,34,31.9,27,24,2.211111111
Lac Qui Parle,37,17,21.1,10,15.4,13.65
Lake,38,42,28.9,22,19.3,1.8
Lake of the Woods,39,12,10.3,6,7.2,4.86
Le Sueur,40,56,46.1,31,34.3,5.966666667
Lincoln,41,15,17.7,8,12.9,9.875
Lyon,42,43,42.4,25,33.8,6.33
McLeod,43,43,58,33,47,3.9
Mahnomen,44,12,10.9,11,7.7,9.877777778
Marshall,45,19,23.7,14,16.8,3.9875
Martin,46,54,47.9,29,39,5.830769231
Meeker,47,49,44.5,27,33,3.74
Mille Lacs,48,50,44.2,35,33.3,2.833333333
Morrison,49,62,60.4,38,45,4.15
Mower,50,108,83.1,79,66.5,7.007142857
Murray,51,25,22.9,6,16.8,12.1
Nicollet,52,45,42,27,32.6,9.7
Nobles,53,34,41.2,16,32.3,7.1
Norman,54,19,18.2,11,13.2,3.766666667
Olmsted,55,185,175.7,131,141.6,4.019230769
Otter Tail,56,117,132.6,64,95.9,4.372727273
Pennington,57,18,24.9,13,20.2,2.975
Pine,58,75,53.6,50,37.1,2.116666667
Pipestone,59,16,22.3,8,18.1,6.875
Polk,60,61,62.5,38,48.3,5.1
Pope,61,27,27.3,12,20.5,3.6
Ramsey,62,760,703.1,730,620.4,4.545238095
Red,63,7,9.8,7,7,4.3
Redwood,64,31,37.5,23,28.2,8.26
Renville,65,26,38,17,28.7,5
Rice,66,87,82,64,64,6.936363636
Rock,67,19,22.2,5,16.9,7.066666667
Roseau,68,21,27.4,6,18.7,4.328571429
St Louis,69,420,378.9,330,303.9,3.054918033
Scott,70,92,89.7,75,67.7,6.592857143
Sherburne,71,73,67.4,62,51,2.5
Sibley,72,20,30.3,15,22.4,5.35
Stearns,73,172,191.9,128,143.1,4.877777778
Steele,74,45,54.5,47,44,5.61
Stevens,75,12,18.7,11,14.7,6.25
Swift,76,33,24.6,15,19.3,2.925
Todd,77,50,50.1,31,36,4.05
Traverse,78,9,11.9,6,8.4,6.88
Wabasha,79,35,42.5,40,30.2,6.942857143
Wadena,80,30,31.2,25,24,2.92
Waseca,81,34,33.2,21,25.6,3.1
Washington,82,210,240.2,186,187.3,4.858
Watonwan,83,31,25.3,12,19.6,9.9
Wilkin,84,15,13.4,12,10.4,9.3
Winona,85,93,78.3,56,62,5.7
Wright,86,97,114,91,85.4,6.007142857
Yellow Medicine,87,23,25.1,18,19.5,3.433333333
